page_size_kb,row_group_size,category,iterations_per_second,mem_bytes_per_second,disk_bytes_per_second,file_size_bytes
32,102400,images,0.8270380549572556,997938700.5347307,710630245.4926435,859247336
32,1048576,images,0.8898924331926097,1073781421.6321893,764637702.5473078,859247336
64,1024,images,0.8225055957169772,992469645.6860952,706737501.3043749,859249475
64,10240,images,1.040773831246556,1255841225.780622,894284368.0923419,859249475
64,102400,images,0.7394306395453489,892227929.7070413,635355388.8282553,859249475
64,1048576,images,1.0024755734549335,1209628946.4493024,861376610.1914755,859249475
256,1024,images,1.4183452777784251,1727990283.1944976,1218711531.813899,859248838
256,10240,images,1.1137882526205485,1356944115.2432494,957021261.8422567,859248838
256,102400,images,0.8537860755072385,1040179754.1950498,733614693.280175,859248838
256,1048576,images,0.9453902987065705,1151782485.9614356,812325515.6200936,859248838
0,1024,images,0.4466447429229861,538939194.6379575,383784177.98006064,859260484
0,10240,images,0.5621857292811818,678355514.0332094,483063981.8400413,859260484
0,102400,images,0.5559606325842487,670844066.3926691,477715002.2392876,859260484
0,1048576,images,0.46299278135928346,558665383.7588885,397831401.3992841,859260484
8,1024,reviews,4.950306227634597,1773803707.3033836,736350190.2743567,148748412
8,10240,reviews,6.281784281575392,2268909674.2326097,1017308807.0513864,161945836
8,102400,reviews,8.15497646561294,2964297671.914984,1355605929.5367422,166230514
8,1048576,reviews,8.340951591882124,3025510301.453217,1390022343.6421328,166650331
32,1024,reviews,7.4547886907293295,2671214912.516134,1108887979.5415468,148748412
32,10240,reviews,6.462554208612731,2313520016.221863,972829973.3543986,150533356
32,102400,reviews,7.169589381380782,2557411431.3761344,1086892951.869406,151597657
32,1048576,reviews,7.474160261712941,2700744819.2001457,1133236394.3073037,151620564
64,1024,reviews,6.373829753961066,2283883527.080113,948097054.2600592,148748412
64,10240,reviews,6.738477305936894,2448288082.2362423,1007330134.2378006,149489282
64,102400,reviews,5.883256221952673,2119337737.7888215,883965830.7121016,150251119
64,1048576,reviews,6.409035928922871,2287332900.8879375,962977010.0182027,150253021
256,1024,reviews,6.081214411146736,2179033007.5303516,904570986.6895922,148748412
256,10240,reviews,7.287617584902889,2669462855.1501203,1079869488.4871397,148178671
256,102400,reviews,8.325025059595713,3016043883.2272954,1237126046.5881686,148603282
256,1048576,reviews,7.907185547981808,2891820429.4252257,1174580167.6500328,148545922
0,1024,reviews,6.001669121386066,2150530178.940004,892738751.1556126,148748412
0,10240,reviews,5.699038462328516,1880932293.3559446,842940550.2764717,147909258
0,102400,reviews,6.585805884517485,2133987260.9727967,976221658.9684645,148231162
0,1048576,reviews,6.604150026236587,2148868347.4283004,978796690.2329072,148209336
8,1024,websites,4.172986266409827,5988666078.0163555,1167856994.176809,279861212
8,10240,websites,3.4371017831338104,4932604676.6688595,958316471.9932402,278815273
8,102400,websites,4.058400970657297,5824234739.24871,1131544174.5772793,278815273
8,1048576,websites,3.090035064308081,4434527218.27162,861548970.0346302,278815273
32,1024,websites,4.100747878174438,5884998633.168192,1147397917.0927265,279802112
32,10240,websites,2.935644768693032,4212962313.855992,818329033.4885101,278756150
32,102400,websites,3.767515201719765,5406784816.403867,1050218032.697875,278756150
32,1048576,websites,4.008783910002749,5753031060.618713,1117473168.9343128,278756150
64,1024,websites,4.078756575089752,5855426132.499515,1141466808.654539,279856566
64,10240,websites,3.0602127051162062,4393224711.90771,853215728.5022161,278809289
64,102400,websites,3.5420887743981746,5085003375.5630865,987567252.7648364,278809289
64,1048576,websites,3.950504727730608,5671323096.384341,1101437414.3297093,278809289
256,1024,websites,3.8621619547462336,5448242987.490684,1081884753.6302261,280124129
256,10240,websites,3.1781553843186905,4471417695.775658,886929018.0882415,279070376
256,102400,websites,3.7443843399865933,5268057842.675457,1044946745.6485704,279070376
256,1048576,websites,3.6092881569832307,5077988009.622761,1007245403.0616572,279070376
0,1024,websites,2.091487200567708,3001469522.2401195,586357208.376476,280354194
0,10240,websites,2.2011810300343426,3217687294.768347,615059523.9742193,279422508
0,102400,websites,2.3936646663043937,3499059949.913976,668843784.3697567,279422508
0,1048576,websites,2.339823196347821,3420354467.971761,653799265.8000846,279422508
8,1024,embeddings,2.411238404906741,1798682462.307979,1219223831.500575,505642175
8,10240,embeddings,3.074472865339313,1709513363.6771476,1345288935.1100116,437567347
8,102400,embeddings,2.2371201134214753,1205210698.5183053,963985638.4514501,430904730
8,1048576,embeddings,2.7102508325330508,1453707603.0449362,1166354025.5266051,430349107
32,1024,embeddings,2.662552050142663,1566321689.5713143,1343609567.9043558,504632226
32,10240,embeddings,2.609563652469027,1460755905.02579,1137077784.921025,435734834
32,102400,embeddings,2.832749238853152,1660875596.9142745,1215160667.7688506,428968668
32,1048576,embeddings,2.867938555063047,1680943664.6249616,1228637246.4079974,428404313
64,1024,embeddings,2.8289907840480866,1626412240.0343752,1427601274.6032476,504632706
64,10240,embeddings,2.716107453219145,1645620929.624501,1182609821.2897666,435406125
64,102400,embeddings,3.082704112189198,1861065662.2710283,1321256455.634027,428603073
64,1048576,embeddings,2.4298476817352404,1466928359.145997,1040061303.0706097,428035597
256,1024,embeddings,2.550761251918134,1295945556.9790916,1291103515.765129,506163999
256,10240,embeddings,2.8366704306195447,1726614391.0826812,1234811792.3841674,435303227
256,102400,embeddings,2.6015022889321604,1572987828.121565,1114317123.4545803,428336015
