library,columns,predicate,late_materialization,selectivity,num_ios,total_bytes
PyArrow,img,(id >= 45000),False,0.55,27,4097377941
PyArrow,id,(id >= 47500),False,0.525,15,770813
PyArrow,vec,(id >= 47500),False,0.525,15,315495647
PyArrow,img,(id >= 47500),False,0.525,27,4097377941
PyArrow,id,(id >= 50000),False,0.5,15,770813
PyArrow,vec,(id >= 50000),False,0.5,15,315495647
PyArrow,img,(id >= 50000),False,0.5,27,4097377941
PyArrow,id,(id >= 52500),False,0.475,15,770813
PyArrow,vec,(id >= 52500),False,0.475,15,315495647
PyArrow,img,(id >= 52500),False,0.475,27,4097377941
PyArrow,id,(id >= 55000),False,0.45,15,770813
PyArrow,vec,(id >= 55000),False,0.45,15,315495647
PyArrow,img,(id >= 55000),False,0.45,27,4097377941
PyArrow,id,(id >= 57500),False,0.425,15,770813
PyArrow,vec,(id >= 57500),False,0.425,15,315495647
PyArrow,img,(id >= 57500),False,0.425,27,4097377941
PyArrow,id,(id >= 60000),False,0.4,15,770813
PyArrow,vec,(id >= 60000),False,0.4,15,315495647
PyArrow,img,(id >= 60000),False,0.4,27,4097377941
PyArrow,id,(id >= 62500),False,0.375,15,770813
PyArrow,vec,(id >= 62500),False,0.375,15,315495647
PyArrow,img,(id >= 62500),False,0.375,27,4097377941
PyArrow,id,(id >= 65000),False,0.35,15,770813
PyArrow,vec,(id >= 65000),False,0.35,15,315495647
PyArrow,img,(id >= 65000),False,0.35,27,4097377941
PyArrow,id,(id >= 67500),False,0.325,15,770813
PyArrow,vec,(id >= 67500),False,0.325,15,315495647
PyArrow,img,(id >= 67500),False,0.325,27,4097377941
PyArrow,id,(id >= 70000),False,0.3,15,770813
PyArrow,vec,(id >= 70000),False,0.3,15,315495647
PyArrow,img,(id >= 70000),False,0.3,27,4097377941
PyArrow,id,(id >= 72500),False,0.275,15,770813
PyArrow,vec,(id >= 72500),False,0.275,15,315495647
PyArrow,img,(id >= 72500),False,0.275,27,4097377941
PyArrow,id,(id >= 75000),False,0.25,15,770813
PyArrow,vec,(id >= 75000),False,0.25,15,315495647
PyArrow,img,(id >= 75000),False,0.25,27,4097377941
PyArrow,id,(id >= 77500),False,0.225,15,770813
PyArrow,vec,(id >= 77500),False,0.225,15,315495647
PyArrow,img,(id >= 77500),False,0.225,27,4097377941
PyArrow,id,(id >= 80000),False,0.2,15,770813
PyArrow,vec,(id >= 80000),False,0.2,15,315495647
